Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
02561;Nouvion-le-Vineux;147
02562;Nouvron-Vingré;206
02563;Noyales;163
02564;Noyant-et-Aconin;491
02565;Œuilly;293
02566;Ognes;1106
02567;Ohis;275
02568;Oigny-en-Valois;165
02569;Oisy;476
02570;Ollezy;174
02571;Omissy;711
02572;Orainville;500
02573;Orgeval;57
02574;Origny-en-Thiérache;1409
02575;Origny-Sainte-Benoite;1660
02576;Osly-Courtil;328
02577;Ostel;91
02578;Oulches-la-Vallée-Foulon;86
02579;Oulchy-la-Ville;124
02580;Oulchy-le-Château;816
02581;Paars;320
02582;Paissy;77
02583;Pancy-Courtecon;53
02584;Papleux;117
02585;Parcy-et-Tigny;255
02586;Parfondeval;138
02587;Parfondru;353
02588;Pargnan;67
02589;Pargny-Filain;262
02590;Pargny-la-Dhuys;169
02591;Pargny-les-Bois;136
02592;Parpeville;193
02593;Pasly;1067
02594;Passy-en-Valois;129
02595;Passy-sur-Marne;137
02596;Pavant;762
02598;Pernant;679
02599;Pierremande;253
02600;Pierrepont;340
02601;Pignicourt;190
02602;Pinon;1668
02604;Pithon;82
02605;Pleine-Selve;192
02606;Le Plessier-Huleu;69
02607;Ploisy;84
02608;Plomion;468
02609;Ployart-et-Vaurseine;21
02610;Pommiers;741
02612;Pont-Arcy;124
02613;Pontavert;603
02614;Pontru;272
02615;Pontruet;357
02616;Pont-Saint-Mard;202
02617;Pouilly-sur-Serre;507
02618;Prémont;691
02619;Prémontré;637
02620;Presles-et-Boves;341
02621;Presles-et-Thierny;386
02622;Priez;55
02623;Prisces;96
02624;Proisy;272
02625;Proix;142
02626;Prouvais;336
02627;Proviseux-et-Plesnoy;126
02628;Puiseux-en-Retz;218
02629;Puisieux-et-Clanlieu;322
02631;Quierzy;409
02632;Quincy-Basse;56
02633;Quincy-sous-le-Mont;61
02634;Raillimont;85
02635;Ramicourt;146
02636;Regny;200
02637;Remaucourt;291
02638;Remies;238
02639;Remigny;346
02640;Renansart;155
02641;Renneval;111
02642;Résigny;166
02643;Ressons-le-Long;784
02644;Retheuil;340
02645;Reuilly-Sauvigny;188
02647;Ribeauville;59
