,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR,NEAREST_CITY,Population municipale 2020
2524,44.483,1.217,2018-07-04 16:30:00,FR,2018,Cahors,20159
2525,44.5,1.2,2018-07-04 16:30:00,FR,2018,Villefranche-du-Prigord,671
2526,43.433,-0.517,2018-07-04 16:00:00,FR,2018,Artix,3434
2527,43.45,-0.433,2018-07-04 16:00:00,FR,2018,Sauvagnon,3460
2528,43.267,-0.25,2018-07-04 16:00:00,FR,2018,Bordes,2888
2529,43.95,0.55,2018-07-04 16:00:00,FR,2018,Lectoure,3687
2530,43.45,-0.467,2018-07-04 15:45:00,FR,2018,Sauvagnon,3460
2531,43.25,0.233,2018-07-04 15:45:00,FR,2018,Orleix,1953
2532,43.3,-0.133,2018-07-04 15:30:00,FR,2018,Pontacq,2921
2533,43.283,-0.167,2018-07-04 15:30:00,FR,2018,Bordes,2888
2534,43.267,-0.183,2018-07-04 15:30:00,FR,2018,Bordes,2888
2535,43.4,-0.55,2018-07-04 15:30:00,FR,2018,Artix,3434
2536,43.283,-0.267,2018-07-04 15:30:00,FR,2018,Idron,4915
2537,43.267,-0.217,2018-07-04 15:30:00,FR,2018,Bordes,2888
2538,43.25,-0.3,2018-07-04 15:30:00,FR,2018,Bordes,2888
2539,43.467,-0.567,2018-07-04 15:30:00,FR,2018,Artix,3434
2540,46.117,2.333,2018-07-04 15:30:00,FR,2018,Mazirat,287
2541,43.4,-0.7,2018-07-04 15:15:00,FR,2018,Mourenx,5903
2542,45.033,1.8,2018-07-04 15:15:00,FR,2018,Beaulieu-sur-Dordogne,1290
2543,45.867,3.233,2018-07-04 15:00:00,FR,2018,Ennezat,2532
2544,43.217,-0.267,2018-07-04 15:00:00,FR,2018,Bordes,2888
2545,43.283,-0.183,2018-07-04 15:00:00,FR,2018,Bordes,2888
2546,43.233,-0.283,2018-07-04 15:00:00,FR,2018,Bordes,2888
2547,45.833,3.267,2018-07-04 15:00:00,FR,2018,Ennezat,2532
2548,43.333,-1.033,2018-07-04 14:50:00,FR,2018,Salies-de-Barn,4555
2549,48.748,7.506,2018-07-04 14:45:00,FR,2018,Neuwiller-ls-Saverne,1107
2550,48.757,7.568,2018-07-04 14:45:00,FR,2018,Val-de-Moder,5012
2551,44.383,-0.25,2018-07-04 14:45:00,FR,2018,Bernos-Beaulac,1135
2552,44.342,-0.307,2018-07-04 14:30:00,FR,2018,Bernos-Beaulac,1135
2553,44.267,-0.517,2018-07-04 14:10:00,FR,2018,Saint-Symphorien,1819
2554,46.183,2.8,2018-07-04 14:00:00,FR,2018,La Celle,405
2555,45.95,0.867,2018-07-04 13:55:00,FR,2018,Saint-Junien,11295
2556,45.9,0.783,2018-07-04 13:45:00,FR,2018,tagnac,996
